Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
Condominium/Apartment,Manjung,Lumut,PANGSAPURI SAMUDERA (TMN SAMUDERA BARU),   ,October 2024,Freehold,89.00,sq.m,-,-,G,"RM235,000.00","Manjung, Malaysia",4.334761,100.6342662,Yes,No,No,No,Yes,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Johor Bahru,Pulai,HORIZON HILL,JLN MAYA 3/4,June 2024,Freehold,354.00,sq.m,200,sq.m,    ,"RM1,350,000.00","JLN MAYA 3/4, Johor Bahru, Malaysia",1.44548,103.6339861,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Town House,Gombak,Bandar Kundang,DESA PUTERI,   ,April 2024,Freehold,111.00,sq.m,-,-,1,"RM300,000.00","Gombak, Malaysia",3.3,101.7,Yes,No,No,Yes,No,No,Yes,Yes,No
Low-Cost House,Pokok Sena,Bandar Pokok Sena,TMN BANDAR BARU 2 (POKOK SENA),JLN PKK SENA - LANGGAR,January 2024,Freehold,102.00,sq.m,60,sq.m,    ,"RM220,000.00","JLN PKK SENA - LANGGAR, Pokok Sena, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Johor Bahru,Plentong,BDR SERI ALAM,JLN BAYU 18,April 2024,Freehold,156.00,sq.m,160,sq.m,    ,"RM680,000.00","JLN BAYU 18, Johor Bahru, Malaysia",1.4982763,103.8659222,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
1 - 1 1/2 Storey Terraced,Johor Bahru,Tebrau,TMN PUTERI WANGSA,JLN KEMBIA 2,March 2024,Freehold,143.00,sq.m,81,sq.m,    ,"RM450,000.00","JLN KEMBIA 2, Johor Bahru, Malaysia",1.5901194,103.7982889,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kulim,Sidam Kanan,TMN SERAI WANGI FASA 3 & 4,LRG SERAI WANGI 7/12,October 2024,Freehold,167.00,sq.m,82,sq.m,    ,"RM350,000.00","LRG SERAI WANGI 7/12, Kulim, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Petaling,Pekan Puchong Jaya,P/PURI SRI TANJUNG - BDR PUCHONG JAYA,   ,March 2024,Freehold,93.00,sq.m,-,-,2,"RM338,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kinta,Ulu Kinta,TMN IPOH TIMUR,REGAT PERAJURIT 4,July 2024,Leasehold,133.00,sq.m,90,sq.m,    ,"RM280,000.00","REGAT PERAJURIT 4, Kinta, Malaysia",4.6163044,101.1240876,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Pulai,TMN BUKIT INDAH,JLN INDAH 27/9,January 2024,Freehold,143.00,sq.m,82,sq.m,    ,"RM490,000.00","JLN INDAH 27/9, Johor Bahru, Malaysia",1.4652534,103.6511454,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Kuala Lumpur,Mukim Kuala Lumpur,DANAU IDAMAN KONDO,   ,April 2024,Leasehold,87.00,sq.m,-,-,5,"RM430,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Kuala Selangor,Ijok,PUNCAK ALAM (APARTMENT),   ,April 2024,Leasehold,67.00,sq.m,-,-,3,"RM211,000.00","Kuala Selangor, Malaysia",3.3621022,101.3455503,Yes,No,No,No,No,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Klang,Kelang,BUKIT RIMAU,JLN SG CONGKAK 32/45,September 2024,Freehold,153.00,sq.m,149,sq.m,    ,"RM700,000.00","JLN SG CONGKAK 32/45, Klang, Malaysia",2.9953556,101.5281503,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Johor Bahru,Plentong,TMN NUSA DAMAI,JLN SENTOSA 19,July 2024,Freehold,72.00,sq.m,83,sq.m,    ,"RM300,000.00","JLN SENTOSA 19, Johor Bahru, Malaysia",1.4957521,103.9020551,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Semi-Detached,Jerantut,Pedah,TAMAN FERI INDAH,JLN JERANTUT - MARAN,August 2024,Freehold,260.00,sq.m,106,sq.m,    ,"RM320,000.00","JLN JERANTUT - MARAN, Jerantut, Malaysia",3.9333298,102.378217,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Batu Pahat,Simpang Kanan,TMN BANANG JAYA,TMN BANANG JAYA,March 2024,Freehold,143.08,sq.m,200,sq.m,    ,"RM592,000.00","TMN BANANG JAYA, Batu Pahat, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Kota Setar,Bandar Anak Bukit,TMN LAMAN KUDA,JALAN KUDA 4,May 2024,Freehold,321.00,sq.m,93,sq.m,    ,"RM360,000.00","JALAN KUDA 4, Kota Setar, Malaysia",6.1752065,100.3745234,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Detached,Kuantan,Sungai Karang,SERI PANTAI BALOK,LRG. SEBERANG BALOK AMAN 23,January 2024,Freehold,564.00,sq.m,138,sq.m,    ,"RM460,000.00","LRG. SEBERANG BALOK AMAN 23, Kuantan, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kuala Langat,Pekan Telok Datuk,LAMAN ASPIRASI (BANTING), JALAN ASPIRASI 1/8,March 2024,Freehold,130.06,sq.m,74,sq.m,    ,"RM180,000.00","JALAN ASPIRASI 1/8, Kuala Langat, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kulim,Padang Serai,TMN LAGENDA,JALAN LAGENDA 16/1,November 2024,Freehold,130.00,sq.m,78,sq.m,    ,"RM340,000.00","JALAN LAGENDA 16/1, Kulim, Malaysia",5.5093188,100.5361262,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
Flat,Timur Laut,13,SRI IMPIAN,   ,June 2024,Freehold,65.00,sq.m,-,-,21,"RM320,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Klang,Kelang,BDR BUKIT TINGGI,   ,May 2024,Freehold,60.00,sq.m,-,-,2,"RM190,000.00","Klang, Malaysia",3.0448394,101.4447363,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Seremban,Rasah,TAMAN ANGSAMAS,JALAN GUNUNG DATUK 29,June 2024,Freehold,111.00,sq.m,63,sq.m,    ,"RM185,000.00","JALAN GUNUNG DATUK 29, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Kuala Lumpur,Mukim Batu,SRI PUTRAMAS,   ,February 2024,Freehold,102.00,sq.m,-,-,17,"RM680,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Tebrau,TMN KEMPAS,JLN DATARAN 1/10,July 2024,Freehold,187.00,sq.m,59,sq.m,    ,"RM470,000.00","JLN DATARAN 1/10, Johor Bahru, Malaysia",1.5330914,103.7068954,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Kuantan,Kuala Kuantan,AIR PUTIH JAYA,LORONG SERI SETALI 86,September 2024,Freehold,379.00,sq.m,197,sq.m,    ,"RM760,000.00","LORONG SERI SETALI 86, Kuantan, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Klang,Kelang,"AMAZING HEIGHTS APARTMENT, SG UDANG",   ,May 2024,Freehold,83.00,sq.m,-,-,1,"RM300,000.00","Klang, Malaysia",3.0448394,101.4447363,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Batang Padang,Bidor,BANDAR BARU BIDOR,BANDAR BARU DIDOR,August 2024,Leasehold,132.90,sq.m,74,sq.m,    ,"RM283,000.00","BANDAR BARU DIDOR, Batang Padang, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Petaling,Pekan Subang Jaya,PINGGIRAN USJ,JLN PINGGIRAN USJ 3/2,July 2024,Freehold,130.00,sq.m,115,sq.m,    ,"RM596,000.00","JLN PINGGIRAN USJ 3/2, Petaling, Malaysia",3.0484296,101.5588544,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Semi-Detached,Tumpat,Bechah Resak,KG BECHAH RESAK,OFF JALAN PERIOK- MORAK PL 1183,December 2024,Freehold,242.00,sq.m,93,sq.m,    ,"RM332,000.00","OFF JALAN PERIOK- MORAK PL 1183, Tumpat, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Johor Bahru,Bandar Johor Bahru,M CONDOMINIUM,   ,April 2024,Leasehold,102.00,sq.m,-,-,28,"RM480,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Manjung,Lumut,TMN MANJUNG POINT SEKSYEN 2(PL 12194),JLN MANJUNG POINT 1/9,February 2024,Freehold,111.00,sq.m,112,sq.m,    ,"RM285,000.00","JLN MANJUNG POINT 1/9, Manjung, Malaysia",4.2122039,100.6637888,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Pulai,TMN UNIVERSITI,JLN PENYIARAN 28,October 2024,Freehold,121.00,sq.m,70,sq.m,    ,"RM450,000.00","JLN PENYIARAN 28, Johor Bahru, Malaysia",1.5329486,103.6146617,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Hulu Langat,Bandar Ampang,TMN PANDAN RIA,   ,January 2024,Leasehold,60.00,sq.m,-,-,10,"RM170,000.00","Hulu Langat, Malaysia",3.083333,101.833333,Yes,Yes,No,No,Yes,No,Yes,No,No
Condominium/Apartment,Petaling,Pekan Kinrara,D'PALMA APARTMENT - PST BDR PUCHONG,   ,February 2024,Freehold,80.00,sq.m,-,-,2,"RM310,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Flat,Timur Laut,13,SERI SEMARAK,   ,October 2024,Freehold,73.00,sq.m,-,-,21,"RM430,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Johor Bahru,Tebrau,TMN PELANGI INDAH, JLN JELITA 13,January 2024,Freehold,334.00,sq.m,210,sq.m,    ,"RM980,000.00","JLN JELITA 13, Johor Bahru, Malaysia",1.586309,103.7993959,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Perak Tengah,Kampung Gajah,TMN KPMP DAMAI,JLN KG GAJAH,May 2024,Freehold,130.00,sq.m,74,sq.m,    ,"RM230,000.00","JLN KG GAJAH, Perak Tengah, Malaysia",4.194748,100.9521881,Yes,No,No,No,No,No,Yes,Yes,No
2 - 2 1/2 Storey Terraced,Johor Bahru,Plentong,TMN BUKIT KAZE @ KAZE HILL,JLN BUKIT KAZE 1/4,July 2024,Freehold,252.82,sq.m,165,sq.m,    ,"RM1,180,000.00","JLN BUKIT KAZE 1/4, Johor Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kemaman,Kijal,BERIS MERAGA,JLN KEMAMAN- DUNGUN,August 2024,Freehold,135.00,sq.m,84,sq.m,    ,"RM264,000.00","JLN KEMAMAN- DUNGUN, Kemaman, Malaysia",4.3758544,103.457025,Yes,No,No,No,Yes,No,Yes,No,No
Flat,Timur Laut,Jelutong,MEWAH COURT,   ,July 2024,Leasehold,81.00,sq.m,-,-,15,"RM290,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Kuala Muda,Bandar Sungai Petani,TMN BANDAR BARU SG LALANG,LRG JATI 46C,February 2024,Freehold,111.00,sq.m,59,sq.m,    ,"RM170,000.00","LRG JATI 46C, Kuala Muda, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost Flat,Hulu Langat,Bandar Kajang,TMN BKT MEWAH,   ,February 2024,Freehold,50.00,sq.m,-,-,G,"RM95,000.00","Hulu Langat, Malaysia",3.083333,101.833333,Yes,Yes,No,No,Yes,No,Yes,No,No
1 - 1 1/2 Storey Terraced,Port Dickson,Port Dickson,TAMAN SELASIH [PORT DICKSON],LORONG SELASIH 7,July 2024,Freehold,102.00,sq.m,57,sq.m,    ,"RM170,000.00","LORONG SELASIH 7, Port Dickson, Malaysia",2.5515912,101.8175831,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Petaling,Bdr Petaling Jaya Selatan,TMN PETALING UTAMA-JLN 1/21-1/25,   ,April 2024,Leasehold,61.00,sq.m,-,-,7,"RM200,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Bahagian Kuching,Bahagian Kuching,LIBERTY GROVE,   ,June 2024,Leasehold,121.42,sq.m,-,-,4,"RM560,000.00","Bahagian Kuching, Malaysia",1.5328561,110.0454453,No,No,No,No,No,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Klang,Kelang,"BDR BOTANIC, KLANG",JLN BUNGOR 4,May 2024,Freehold,153.00,sq.m,147,sq.m,    ,"RM858,000.00","JLN BUNGOR 4, Klang, Malaysia",2.9850953,101.4391703,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Tebrau,TMN ANGGERIK,JLN ANGGERIK 5/4,October 2024,Freehold,133.00,sq.m,79,sq.m,    ,"RM410,000.00","JLN ANGGERIK 5/4, Johor Bahru, Malaysia",1.5374617,103.6919874,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Batu Pahat,Sri Gading,TMN WIRA BUDIMAN TR219,JLN WIRA BUDIMAN 1,October 2024,Freehold,208.10,sq.m,92,sq.m,    ,"RM390,000.00","JLN WIRA BUDIMAN 1, Batu Pahat, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Rompin,Rompin,"PECAHAN LOT 1280, KAMPUNG KOLAM",KG KOLAM,May 2024,Freehold,155.00,sq.m,91,sq.m,    ,"RM210,000.00","KG KOLAM, Rompin, Malaysia",2.7984801,103.4946284,Yes,No,No,No,No,No,Yes,Yes,No
Detached,Machang,Labok,KG JOH,JALLAN JOH,July 2024,Freehold,528.00,sq.m,89,sq.m,    ,"RM320,000.00","JALLAN JOH, Machang, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Batu,DUTA NUSANTARA,PERSIARAN NUSANTARA,August 2024,Freehold,375.00,sq.m,345,sq.m,    ,"RM4,850,000.00","PERSIARAN NUSANTARA, Kuala Lumpur, Malaysia",3.168895,101.6644441,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kinta,Ulu Kinta,TAMAN LAHAT SENTOSA (MOSEY HILL),LALUAN LAHAT SENTOSA 4,August 2024,Leasehold,163.50,sq.m,92,sq.m,    ,"RM310,000.00","LALUAN LAHAT SENTOSA 4, Kinta, Malaysia",4.5504491,101.0247947,Yes,Yes,No,No,Yes,No,Yes,No,Yes
Detached,Tangkak,Serom,TMN SEROM PERDANA - TR 371,TMN SEROM PERDANA (FASA 2A),October 2024,Freehold,371.61,sq.m,116,sq.m,    ,"RM423,000.00","TMN SEROM PERDANA (FASA 2A), Tangkak, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kinta,Ulu Kinta,TMN INDAH JAYA, PRSN SEPAKAT 3,January 2024,Leasehold,153.00,sq.m,89,sq.m,    ,"RM200,000.00","PRSN SEPAKAT 3, Kinta, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost Flat,Johor Bahru,Plentong,TMN DESA CEMERLANG,   ,March 2024,Freehold,73.00,sq.m,-,-,3,"RM150,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Barat Daya,11,EMERALD RESIDENCE,   ,March 2024,Freehold,104.00,sq.m,-,-,15,"RM537,000.00","Barat Daya, Malaysia",5.3356587,100.2389496,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Kota Setar,Pekan Kota Sarang Semut,TMN KOTA EMAS(KOTA SRG SEMUT),JALAN KOTA EMAS 5,October 2024,Freehold,102.00,sq.m,65,sq.m,    ,"RM239,000.00","JALAN KOTA EMAS 5, Kota Setar, Malaysia",5.9745044,100.3899669,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Johor Bahru,Tebrau,TMN PELANGI INDAH,JLN CANTIK 10,September 2024,Freehold,178.00,sq.m,268,sq.m,    ,"RM840,000.00","JLN CANTIK 10, Johor Bahru, Malaysia",1.573045,103.7997857,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Manjung,Lumut,"TMN MELATI INDAH, PUNDUT",JALAN MELATI INDAH 3,December 2024,Freehold,134.00,sq.m,166,sq.m,    ,"RM420,000.00","JALAN MELATI INDAH 3, Manjung, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost Flat,Petaling,Bandar Shah Alam,SEK. 16 SHAH ALAM-JALAN DAWAI 16/2,   ,April 2024,Leasehold,40.00,sq.m,-,-,2,"RM150,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Port Dickson,Pekan Jemima,BANDAR SPRINGHILL,JALAN SPRINGHILL 7/3,February 2024,Freehold,153.30,sq.m,193,sq.m,    ,"RM443,000.00","JALAN SPRINGHILL 7/3, Port Dickson, Malaysia",2.5990712,101.8615298,Yes,Yes,No,Yes,Yes,No,Yes,No,No
Condominium/Apartment,Bahagian Kuching,Bahagian Kuching,SAMAJAYA APARTMENT,   ,October 2024,Leasehold,65.30,sq.m,-,-,2,"RM290,000.00","Bahagian Kuching, Malaysia",1.5328561,110.0454453,No,No,No,No,No,No,Yes,No,No
1 - 1 1/2 Storey Terraced,Klang,Pekan Kapar,TMN INTAN I-VI,JALAN HAMZAH ALANG 25,April 2024,Freehold,111.00,sq.m,65,sq.m,    ,"RM220,000.00","JALAN HAMZAH ALANG 25, Klang, Malaysia",3.1331246,101.3860846,Yes,No,No,No,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Pulai,TMN BUKIT INDAH,JLN INDAH 4/2,June 2024,Freehold,130.06,sq.m,75,sq.m,    ,"RM530,000.00","JLN INDAH 4/2, Johor Bahru, Malaysia",1.4866649,103.6499649,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Flat,Hulu Langat,Bandar Baru Bangi,SEK 7 BDR BARU BANGI,   ,September 2024,Leasehold,70.00,sq.m,-,-,2,"RM190,000.00","Hulu Langat, Malaysia",3.083333,101.833333,Yes,Yes,No,No,Yes,No,Yes,No,No
Low-Cost Flat,Johor Bahru,Tebrau,TMN AUSTIN PERDANA,   ,April 2024,Freehold,63.00,sq.m,-,-,5,"RM190,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Segamat,Sungai Segamat,"TAMAN IDAMAN, SUNGAI SEGAMAT",TAMAN IDAMAN,December 2024,Leasehold,119.84,sq.m,80,sq.m,    ,"RM100,000.00","TAMAN IDAMAN, Segamat, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Hulu Selangor,Ampang Pechah,DESA BUKIT BUJANG,JALAN SONGKET 1E,August 2024,Freehold,137.00,sq.m,146,sq.m,    ,"RM470,000.00","JALAN SONGKET 1E, Hulu Selangor, Malaysia",3.5351403,101.6556778,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kuala Langat,Tanjung 12,BANDAR TROPICANA AMAN,JALAN AMAN ARAHSIA 6/2,February 2024,Leasehold,153.00,sq.m,275,sq.m,    ,"RM800,000.00","JALAN AMAN ARAHSIA 6/2, Kuala Langat, Malaysia",2.9478441,101.5382373,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Low-Cost Flat,Petaling,Bandar Subang Jaya,SS 13 SUBANG JAYA,   ,May 2024,Freehold,48.00,sq.m,-,-,2,"RM200,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Klang,Kelang,TMN KLANG JAYA,JALAN SERULING 49,June 2024,Freehold,163.50,sq.m,69,sq.m,    ,"RM410,000.00","JALAN SERULING 49, Klang, Malaysia",3.0044218,101.4480806,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kerian,Parit Buntar,TMN KERIAN INDAH,JALAN INDAH 11,September 2024,Freehold,111.00,sq.m,74,sq.m,    ,"RM230,000.00","JALAN INDAH 11, Kerian, Malaysia",5.1147678,100.4966827,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuala Terengganu,Bukit Besar,TAMAN PERUMAHAN TOK ADIS KT/60-06,OFF JLN KT/DUNGUN,January 2024,Leasehold,145.00,sq.m,68,sq.m,    ,"RM330,000.00","OFF JLN KT/DUNGUN, Kuala Terengganu, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Seremban,Bandar Baru Enstek,TMN ALAM MILENA, PERSADA JAYA,January 2024,Freehold,282.00,sq.m,144,sq.m,    ,"RM490,000.00","PERSADA JAYA, Seremban, Malaysia",2.7553487,101.7593476,Yes,Yes,No,No,Yes,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Bahagian Kuching,Bahagian Kuching,HIGHFIELDS,JALAN BATU KAWA,April 2024,Leasehold,185.60,sq.m,141,sq.m,    ,"RM518,000.00","JALAN BATU KAWA, Bahagian Kuching, Malaysia",1.5103065,110.3031282,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Hulu Selangor,Bandar Serendah,TAMAN IDAMAN,JALAN KEKWA,June 2024,Leasehold,102.19,sq.m,58,sq.m,    ,"RM236,000.00","JALAN KEKWA, Hulu Selangor, Malaysia",3.4997908,101.6303065,Yes,No,No,No,Yes,No,Yes,No,Yes
Condominium/Apartment,Johor Bahru,Plentong,TMN TEBRAU JAYA,   ,September 2024,Freehold,144.00,sq.m,-,-,7,"RM425,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Hulu Langat,Ampang,TMN BKT TERATAI,JALAN TERATAI 2/7G,July 2024,Leasehold,121.00,sq.m,135,sq.m,    ,"RM630,000.00","JALAN TERATAI 2/7G, Hulu Langat, Malaysia",3.112143,101.7693305,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Jelebu,Pertang,TAMAN PGBF FELDA PASOH 1,JALAN ANGGERIK 1,April 2024,Leasehold,130.00,sq.m,85,sq.m,    ,"RM90,000.00","JALAN ANGGERIK 1, Jelebu, Malaysia",,,No,No,No,No,No,No,No,No,No
Detached,Perak Tengah,Pasir Salak,RPT GENERASI KEDUA,JLN DAHLIA 3,October 2024,Leasehold,557.00,sq.m,75,sq.m,    ,"RM129,000.00","JLN DAHLIA 3, Perak Tengah, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Alor Gajah,Belimbing,TMN BELIMBING HARMONI,JLN BELIMBING HARMONI 9,September 2024,Leasehold,143.00,sq.m,163,sq.m,    ,"RM393,000.00","JLN BELIMBING HARMONI 9, Alor Gajah, Malaysia",2.3338059,102.2659477,Yes,Yes,No,No,Yes,No,Yes,No,No
Condominium/Apartment,Johor Bahru,Plentong,TMN BAYU PUTERI 2,   ,April 2024,Leasehold,84.00,sq.m,-,-,5,"RM330,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Gombak,Bandar Batu Arang,KOTA PUTERI BANDAR BARU BT ARANG,JALAN KOTA PUTERI 8/3,May 2024,Leasehold,130.00,sq.m,100,sq.m,    ,"RM590,000.00","JALAN KOTA PUTERI 8/3, Gombak, Malaysia",3.3047504,101.4497166,Yes,No,No,No,Yes,No,Yes,Yes,Yes
Flat,Seberang Perai Utara,14,TMN DEDAP,   ,May 2024,Freehold,72.00,sq.m,-,-,4,"RM155,000.00","Seberang Perai Utara, Malaysia",5.4992806,100.4467987,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kulim,Padang Serai,TMN SERAI SETIA FASA 1,LORONG SERAI SETIA 9/2,March 2024,Freehold,130.00,sq.m,67,sq.m,    ,"RM310,000.00","LORONG SERAI SETIA 9/2, Kulim, Malaysia",5.5188525,100.5550226,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Gombak,Bandar Kundang,BANDAR BARU KUNDANG,JALAN BBK 1/2,April 2024,Leasehold,117.00,sq.m,142,sq.m,    ,"RM300,000.00","JALAN BBK 1/2, Gombak, Malaysia",3.2833686,101.5134006,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
Low-Cost House,Johor Bahru,Tebrau,TMN PUTERI WANGSA,JLN LADING 10,April 2024,Freehold,72.00,sq.m,62,sq.m,    ,"RM280,000.00","JLN LADING 10, Johor Bahru, Malaysia",1.5932589,103.7993415,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Manjung,Sitiawan,TAMAN PERAKKU SERDANG,JALAN PERAKKU SERDANG 15,February 2024,Leasehold,130.00,sq.m,71,sq.m,    ,"RM70,000.00","JALAN PERAKKU SERDANG 15, Manjung, Malaysia",4.2377654,100.7045964,Yes,No,No,Yes,Yes,No,Yes,No,Yes
Flat,Hulu Langat,Bandar Ampang,TMN PANDAN CAHAYA,   ,March 2024,Leasehold,59.00,sq.m,-,-,1,"RM167,000.00","Hulu Langat, Malaysia",3.083333,101.833333,Yes,Yes,No,No,Yes,No,Yes,No,No
2 - 2 1/2 Storey Terraced,Kinta,Ulu Kinta,BANDAR CYBER IPOH,OFF LAPANGAN SIBER 2,February 2024,Leasehold,139.00,sq.m,181,sq.m,    ,"RM499,000.00","OFF LAPANGAN SIBER 2, Kinta, Malaysia",,,No,No,No,No,No,No,No,No,No
