Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
2 - 2 1/2 Storey Terraced,Hulu Langat,Pekan Semenyih,TMN KAJANG EAST (SEMENYIH),JALAN KAJANG EAST 1/10,August 2024,Freehold,153.00,sq.m,188,sq.m,    ,"RM666,000.00","JALAN KAJANG EAST 1/10, Hulu Langat, Malaysia",2.9585964,101.831679,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuala Muda,Bandar Sungai Petani,ASTANA PARK HOMES - VILLA NATURA,OFF JLN LENCONGAN BARAT,February 2024,Freehold,314.00,sq.m,87,sq.m,    ,"RM368,000.00","OFF JLN LENCONGAN BARAT, Kuala Muda, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Petaling,Petaling,TAMAN PUNCAK JALIL,JLN PUJ 2/29,March 2024,Leasehold,130.06,sq.m,138,sq.m,    ,"RM580,000.00","JLN PUJ 2/29, Petaling, Malaysia",3.0185422,101.6796936,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Flat,Kuala Lumpur,Mukim Batu,TMN SRI KUCHING,   ,October 2024,Freehold,69.00,sq.m,-,-,2,"RM220,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Timur Laut,13,ECO TERRACES,   ,June 2024,Freehold,102.00,sq.m,-,-,16,"RM580,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kota Bahru,Chekok,KG JAMBU (MK. CHEKOK),OFF JLN KG JAMBU,November 2024,Freehold,146.00,sq.m,72,sq.m,    ,"RM200,000.00","OFF JLN KG JAMBU, Kota Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kemaman,Cukai,BDR BARU BUKIT MENTOK,OFF JALAN BUKIT MENTOK,May 2024,Freehold,145.00,sq.m,81,sq.m,    ,"RM210,000.00","OFF JALAN BUKIT MENTOK, Kemaman, Malaysia",,,No,No,No,No,No,No,No,No,No
Cluster House,Johor Bahru,Tebrau,TMN ADDA,JLN ADDA 5/17,March 2024,Freehold,315.00,sq.m,253,sq.m,    ,"RM1,400,000.00","JLN ADDA 5/17, Johor Bahru, Malaysia",1.5572691,103.7449453,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Semi-Detached,Petaling,Petaling,TAMAN EQUINE,JALAN EQUINE 6C,April 2024,Leasehold,297.29,sq.m,229,sq.m,    ,"RM1,500,000.00","JALAN EQUINE 6C, Petaling, Malaysia",3.0020448,101.6711596,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Kampar,Mukim Teja,TAMAN RAIA UTAMA,JALAN RAIA UTAMA,September 2024,Freehold,130.00,sq.m,85,sq.m,    ,"RM268,000.00","JALAN RAIA UTAMA, Kampar, Malaysia",,,No,No,No,No,No,No,No,No,No
